ageGroup,region,relation,claimType,conditionGrouping,gender,planClassKey,industryKey,operatorTypeKey,currYearClaimCount,currYearTotalClaimCostAmount,prevYearClaimCount,prevYearTotalClaimCostAmount,prevYearTotalSettledClaimAmount,currYearTotalSettledClaimAmount
54-58,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,2,240,0,0,945,567
29-33,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,302,28115.66,247,34264.57,34450.57,28960.66
24-28,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,129,14815,191,18992.54,19569.54,15626
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,39,9552.66,29,8364.78,8672.78,9969.66
29-33,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,8,1196.97,2,410,534,1429.97
0-18,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,5,490,14,1766.99,2708.99,965
29-33,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,14,2705.38,9,2946.98,2959.98,2731.38
44-48,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,2,1200,4,1622.09,2433.09,1726
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,232,27558.56,223,26532.5,27447.5,28290.56
34-38,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,51,11983.79,44,7575.6,7597.6,12097.79
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,5,4488.76,4617.76,416
59-63,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,837,0,0,563,1709
44-48,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,0,0,4,17388,18051,81
34-38,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,3,588,4,1112,1283,831
29-33,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,23,2493.04,13,500.14,757.14,2494.04
0-18,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,3,11676.22,2,3500,4310,11818.22
59-63,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,9,2542.3,2,1450,1638,3029.3
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,8,4728,0,0,571,5701
0-18,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,5,1332.91,20,3460.23,4413.23,2206.91
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,21,24930.19,10,6363.45,6685.45,25627.19
0-18,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,0,0,1,1500,1916,476
49-53,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,125,1,125,373,250
29-33,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,22,3732.39,13,2441.02,2967.02,4069.39
34-38,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,15,17092.64,18,20506.65,21203.65,17723.64
59-63,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,0,0,3,1209,2027,850
29-33,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,0,0,1,2000,2621,558
44-48,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,13,20413.47,6,15374.25,15872.25,21000.47
44-48,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,0,0,1,1166,2022,107
34-38,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,338,42634.24,270,30268.4,30614.4,43051.24
24-28,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,218,38331.08,117,21356.06,21627.06,38547.08
59-63,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,32,4038.31,26,3511.34,3994.34,4442.31
34-38,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,21,31320.5,9,8192.72,8461.72,31322.5
24-28,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,150,12259.81,169,13281.9,14150.9,12843.81
44-48,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,2,4213,0,0,428,4646
29-33,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,241,21876.13,231,21983.86,22895.86,22645.13
34-38,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,5,24911.51,7,6598.22,7512.22,25147.51
59-63,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,51,6934.68,38,5085.78,5094.78,7794.68
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,33,3591.71,39,3171.57,3504.57,4473.71
29-33,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,18,12944,10,3392.5,3754.5,13287
49-53,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,2,1726,0,0,491,2619
39-43,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,18,5660.78,24,4349.75,5227.75,6645.78
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,5,1319,2,1683,2385,2311
29-33,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,9,8258,2,816,1244,9192
24-28,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,6,7077,2,1158,1853,7182
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,23,11097.5,11,7521,7816,11530.5
49-53,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,11,9326.06,10103.06,169
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,83,6956.75,85,7923.63,8789.63,6998.75
39-43,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,7,11344.69,11547.69,623
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,1,716,0,0,173,797
19-23,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,23,3124.5,13,1953.99,2338.99,3767.5
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,12,1295,9,1395,1982,1963
34-38,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,829,87896.27,553,70219.92,70607.92,88477.27
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,15,33906.19,8,5472.5,5897.5,34805.19
49-53,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,5,286,1,140,452,388
59-63,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,3,698.54,14,3187.03,3630.03,1660.54
24-28,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,1,450,1,1100,1537,1275
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,65,96507.79,15,28422.51,28570.51,96856.79
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,0,0,4,1583,1741,654
44-48,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,3,-2674.4,0,0,436,-2510.4
24-28,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,5,950,4,650,1544,1497
19-23,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,6,4066.15,4,2231,3128,4575.15
59-63,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,1,119.15,0,0,633,625.15
34-38,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,6,4586.68,6,63078.4,63686.4,5160.68
34-38,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,23,21893,12,5141.6,5855.6,22550
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,66,64071.43,41,56884.75,57537.75,64307.43
44-48,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,8,4961.96,0,0,644,5423.96
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,3,1977.07,3,2786.5,2926.5,2776.07
44-48,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,7,3902.41,0,0,645,4528.41
0-18,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,0,0,6,6432.14,6468.14,791
29-33,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,66,37429.08,36,29657.5,30650.5,38015.08
44-48,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,12,2234.37,3,236,594,3180.37
44-48,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,1,1876,0,0,339,2494
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,1446.5,0,0,871,2384.5
44-48,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,12,1371.5,17,1089.25,1276.25,1451.5
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,7,3899.5,1,2042.06,2844.06,4782.5
34-38,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,1,1231,0,0,879,2136
19-23,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,33,2470.3,11,378.28,915.28,2613.3
39-43,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,5,14325,4,8554.44,8665.44,14909
19-23,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,20,1491.38,16,1874.05,2163.05,1684.38
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,3195,315843.56,2767,290824.47,290877.47,316795.56
44-48,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,4,2955,0,0,937,3912
39-43,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,6,4807.5,6,4655.99,4809.99,4844.5
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,40,4851,37,3582,3736,5451
34-38,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,3,3314.07,4,4105,5078,4208.07
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,11,1651.93,6,1571.83,2162.83,1693.93
24-28,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,60,34725.69,53,31143.22,31423.22,34881.69
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,16,12265.71,0,0,571,12668.71
59-63,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,1,1108.5,0,0,705,1196.5
29-33,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,3,1209,12,3267.75,3894.75,1263
39-43,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,5,2414.5,0,0,121,2533.5
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,28,19184.64,16,17226.62,17707.62,19457.64
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,80,60392.3,90,68077.96,68929.96,61339.3
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,4,2078.5,0,0,433,3022.5
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,40,4666.68,59,5585.1,5894.1,4933.68
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,253,27310.91,248,20839.31,21473.31,27810.91
54-58,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,3,0,0,0,998,269
0-18,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,2,0,0,0,194,765
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,600,8,7576.09,8300.09,1311
39-43,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,37,5819.72,48,5044.68,5447.68,6070.72
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,20,45815.1,70,73494.91,74368.91,45922.1
39-43,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,34,21716.5,20,15328,16298,22249.5
44-48,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,12,1497.05,11,549.97,1460.97,1772.05
54-58,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,2,14694,18,20118.35,20956.35,15015
19-23,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,1,500,0,0,344,528
59-63,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,30,4835.69,22,6465.07,7229.07,5505.69
54-58,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,6,8967.21,0,0,861,9849.21
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,525,47666.72,389,47221.92,47669.92,47993.72
19-23,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,1,100,8,2406.91,3332.91,780
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,137,12759.6,105,12515.12,13118.12,12893.6
44-48,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,10,12457.94,0,0,815,13237.94
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,19,3979.75,6,1784.77,2299.77,4215.75
0-18,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,0,0,7,4357,5037,220
19-23,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,8,1217.05,14,1686.7,2659.7,1797.05
34-38,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,68,16733.92,40,6053.96,6554.96,17125.92
39-43,REGION_WALES,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,5,1132.74,6,896.61,1421.61,1997.74
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,4,2361,3,1240,1485,2899
44-48,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,79,9564.33,21,3000,3242,9775.33
24-28,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,0,0,1,102,585,784
34-38,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_LENSES,F,null,null,null,0,0,3,1734,2546,502
19-23,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,25,2412,7,250.7,361.7,3173
44-48,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,12,1860.02,0,0,852,2731.02
49-53,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,M,null,null,null,6,1307.35,0,0,195,1400.35
44-48,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,3,460,15,4253.5,4402.5,826
49-53,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,1,100,14,3170.35,3773.35,238
44-48,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,1,350,4,972,1615,1131
29-33,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,F,null,null,null,0,0,5,2757.5,3396.5,840
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,1,1626.3,4,1305.62,1605.62,2412.3
29-33,REGION_WALES,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,M,null,null,null,4,2718,0,0,606,3321
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,F,null,null,null,2,1371,2,384,1136,1609
39-43,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,4,3259.5,5,5709,6438,4118.5
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,248,17540.37,206,17217.59,18008.59,17583.37
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,3,330.83,0,0,259,759.83
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,1,300,2,600,819,398
39-43,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,2,3103,10,16937.3,17364.3,3864
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,5,10189,4,4887.76,5438.76,11111
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,9,4477,3,843,1827,5393
