ageGroup,region,relation,claimType,conditionGrouping,gender,planClassKey,industryKey,operatorTypeKey,currYearClaimCount,currYearTotalClaimCostAmount,prevYearClaimCount,prevYearTotalClaimCostAmount
36-45,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,201,37809.56,152,25483.76
19-25,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,17,2819.93,5,805.74
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,13,1757.69,14,4476.18
36-45,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,6,2490.5,11,4574
61-65,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,13,20413.47,6,15374.25
66-70,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,0,0,9,1150
61-65,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,2,1876,0,0
46-55,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,26,18413.1,56,37279.16
56-60,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,7,1982.31,21,4394.86
0-18,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_PREGNANCY,M,null,null,null,35,7180.89,15,2083.46
61-65,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,1,1300,3,2686
66-70,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,0,0,1,137
19-25,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_RESPIRATORY,F,null,null,null,5,709.15,9,985.75
36-45,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,74,8942.17,59,3994.31
26-35,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,0,0,1,1114
46-55,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,3,872.05,0,0
46-55,REGION_WEST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,9,8743.73,1,1279
56-60,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,42,7048.55,25,5066.47
46-55,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,81,21111.36,109,32993.62
71-75,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,2,1123,0,0
26-35,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,48,21886.74,36,21556.08
46-55,REGION_WEST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,1,150,11,4103.23
46-55,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,86,48593.39,24,13906.8
19-25,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_RESPIRATORY,F,null,null,null,0,0,1,646
0-18,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,6,3197.34,5,3474
56-60,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,360,80175.75,242,42125.28
76+,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,29,18362.01,10,3609.5
61-65,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,232,23820.2,144,15534.49
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,9,19129.5,19,40647.59
66-70,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,1,247,4,3098
26-35,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,7,7564,5,8050
46-55,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,26,14226.03,15,7455.65
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,6,2703,9,5600
46-55,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,120,11435.22,122,10617.01
19-25,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,1,1494.6,0,0
26-35,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,50,47964.11,16,18283.25
76+,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,36,8667.74,22,3761
0-18,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_PREGNANCY,M,null,null,null,1,659,0,0
56-60,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,11,1685.42,6,830
56-60,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,13,5206,17,13596
66-70,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,6,3444,2,1354
19-25,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,M,null,null,null,53,5848,38,5036
26-35,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,M,null,null,null,29,2063.46,32,4854.5
0-18,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,24,2155,38,2800
61-65,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,12,1371.5,17,1089.25
26-35,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,0,0,1,200
76+,REGION_SOUTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,11,2112.89,6,852
66-70,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,7,10920.1,2,0
19-25,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,35,4301.24,7,790
61-65,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,1,439.5,1,108
19-25,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,10,2792.77,1,195.5
56-60,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,0,0,7,3621
26-35,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,15,12285.25,16,10769
46-55,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,2,2400,2,673
46-55,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,1692,162273.7,1317,128542.55
36-45,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,16,1493.4,0,0
36-45,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,7,12074.5,0,0
36-45,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,148,22308.43,178,26762.21
36-45,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,373,97727.83,263,107704.62
46-55,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,2775,296903.22,2315,234229.65
26-35,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,8,1853,12,3674
66-70,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,1,166,0,0
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,5,1462.34,9,1442.94
19-25,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,6,1059.51,33,10501.3
76+,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,1,205,0,0
66-70,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,2,1735,0,0
56-60,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,1,50,7,874.75
46-55,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_CIRCULATORY,M,null,null,null,43,115578.79,12,19395.36
76+,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,4,9264,8,8942.13
19-25,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,9,3725,7,2738.5
26-35,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,8,704,3,302
19-25,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,66,10519,31,5061.17
19-25,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,0,0,1,125
56-60,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,13,1457,5,1090
66-70,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,2,161,0,0
56-60,REGION_WEST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,14,29952.16,13,28110.87
56-60,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,0,0,2,900
56-60,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,96,20617.07,60,12044.87
56-60,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,8,9601.67,0,0
76+,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,2,800,0,0
36-45,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,4,5355,0,0
46-55,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,123,13752.94,109,13383.63
76+,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,1,500,0,0
0-18,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,11,1379.18,10,3153.52
36-45,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,830,82280.37,684,72043.34
56-60,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,1,1193.5,7,6933.5
19-25,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,6,4066.15,4,2231
46-55,REGION_WALES,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,5,1836.05,0,0
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,40,18617.81,6,2539.22
0-18,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,11,2843.37,4,1651.89
26-35,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,26,27644,8,7469
36-45,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,22,9415,21,9385.82
46-55,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,4,5768.25,3,1952.4
0-18,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,4,2506,6,6585
61-65,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,9,4521,3,1426
76+,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_PREGNANCY,M,null,null,null,1,40,1,100
56-60,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,2,0,6,5193.79
56-60,REGION_NORTHERN_IRELAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,M,null,null,null,1,306.84,4,540
46-55,REGION_SCOTLAND,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,11,2910.6,18,3030.3
56-60,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,1,145,0,0
61-65,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,F,null,null,null,6,1598.2,6,4248.1
61-65,REGION_SOUTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,159,28758.93,133,30759.79
19-25,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,3,1131,1,597
36-45,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,7,11173.5,16,8315.5
26-35,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,16,1008,14,1354.5
19-25,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,5,9285,26,25991.34
46-55,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,151,56710.34,155,44498.44
19-25,REGION_WALES,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,7,1155.3,14,1770.47
0-18,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,17,7682.5,23,10563.5
36-45,REGION_WEST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_PREGNANCY,F,null,null,null,1,200,0,0
66-70,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,F,null,null,null,8,1460,8,1073.43
26-35,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,20,23418.05,9,7834.14
61-65,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_RESPIRATORY,F,null,null,null,24,4958.75,12,2248
0-18,REGION_NORTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,2,350,2,760
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,76,18601.02,23,3381.16
61-65,REGION_SOUTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,20,2351.73,25,1771.08
61-65,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,13,6698,13,8774.65
66-70,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,5,2703.19,2,1800
71-75,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,16,3497.44,7,615
36-45,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,11,13518.87,7,9321
71-75,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,2,743,0,0
56-60,REGION_EAST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,28,4983.5,22,3168.41
26-35,REGION_NORTH_EAST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,52,6633.84,81,8071.56
46-55,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,63,14407.94,32,9983.94
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ MENTAL_DISORDERS,F,null,null,null,16,2037,34,5541.8
61-65,REGION_WEST_MIDLANDS,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,5,1227.77,0,0
46-55,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_INJURY_&_ACCIDENT,F,null,null,null,8,2859.14,12,9798.91
46-55,REGION_EAST_MIDLANDS,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,42,26431.26,21,11940
76+,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,6,4212,0,0
56-60,REGION_SOUTH_EAST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,7,4216,11,19754
61-65,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,M,null,null,null,66,12196.52,44,9957.98
36-45,REGION_NORTH_WEST,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ NEOPLASMS,M,null,null,null,6,1697.06,1,180
56-60,REGION_SCOTLAND,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,4,1759.5,9,2845
0-18,REGION_GREATER_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_PREGNANCY,M,null,null,null,1,2315.76,3,12398
36-45,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_CIRCULATORY,F,null,null,null,34,8253.14,8,1570.1
56-60,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_ SS_&_IDC,F,null,null,null,127,30898.83,83,31865.28
66-70,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,33,3551.33,27,3815.4
46-55,REGION_GREATER_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_RESPIRATORY,M,null,null,null,6,7718.05,0,0
56-60,REGION_NORTH_WEST,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_INJURY_&_ACCIDENT,M,null,null,null,10,6208.34,9,5768.49
0-18,REGION_CENTTRAL_LONDON,RELATION_TYPE_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_MUSCULOSKELETAL,M,null,null,null,0,0,5,6317.82
36-45,REGION_CENTTRAL_LONDON,RELATION_TYPE_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DIGESTIVE,F,null,null,null,39,7007.98,14,26774.46
